0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,class
-211.93698,62.581203,-122.81315,-60.745293,-13.89376,-29.789835,-3.9788747,11.682742,12.963828,8.336421,-6.529819,-2.9961066,-12.88795,5.8859324,-2.4752254,-4.408311,-15.014478,-0.94399726,-2.57991,6.098297,-10.78623,-8.0634775,5.84409,-3.1225374,-5.984229,-0.07994461,-3.6870897,4.7476764,-6.530095,-5.083883,0.48772553,7.510886,-0.88535947,2.393814,-6.392372,-2.1318593,2.2760148,-0.79108346,-1.5400683,1.3211495,dog_bark
-417.0052,99.336624,-42.995586,51.073326,9.853778,7.9696927,11.197089,1.9291173,7.0303974,4.270228,-3.5847259,13.890946,-2.7644935,7.2725554,5.534419,1.8692906,1.725747,7.0386686,-2.4422672,3.4736145,0.07422893,6.218863,-0.18934047,6.654604,-0.26363173,0.20248906,-3.6517172,0.7769084,-5.9063616,0.870299,-1.2502269,2.2772198,-1.539243,0.7671088,-0.8787235,0.9087378,-2.681854,1.7067984,-1.7936064,1.7613845,children_playing
-452.39316,112.36253,-37.578068,43.195866,8.6318445,15.379366,16.882149,1.2330474,6.8331223,3.9001155,-5.16885,8.300045,1.9041388,6.658551,3.8206112,2.901616,-3.5975335,0.82225436,-0.11868463,9.371599,2.4477527,5.305525,-0.46876895,1.723286,-2.8183045,2.0077457,-2.1846373,0.19048092,-2.8493907,2.363491,0.06725766,-0.15453942,-5.2859545,-0.79001594,-2.979211,-0.20284472,-3.0880816,3.8080137,-0.09005556,0.86910236,children_playing
-406.47922,91.1966,-25.043556,42.78452,11.586844,5.0541644,12.431632,-1.5999484,6.6560636,1.4423548,-4.6248703,14.211005,0.4342713,6.992811,0.46317542,-0.4989521,3.3375692,4.2080894,2.2851107,3.3822713,-3.9330814,4.259821,-4.572517,2.6061785,-2.1226885,0.103930674,-3.6083133,0.18719865,-4.28288,-1.2783613,-4.996307,1.279155,0.6357333,1.4141306,-2.8311207,1.8081789,-2.1784313,-0.43647942,-3.051344,-0.17001325,children_playing
-439.63873,103.86224,-42.658787,50.690277,12.209422,15.873465,11.729268,1.5335848,11.292244,2.5486214,-7.290973,10.374461,2.101837,4.6987934,6.5470266,5.372394,-2.190753,1.9804037,-4.6603904,9.2532625,2.110969,4.173505,-0.43920165,3.2909656,-2.397835,1.7053794,-1.5515199,4.642389,-1.0033618,0.11767066,-2.9283946,-0.7740893,-0.98524636,2.5663688,-2.9768782,1.0717415,-1.8256012,3.2913966,-0.16967033,1.3925836,children_playing
-441.0859,108.92061,-25.777704,47.518364,10.559942,17.494894,13.253758,4.494608,5.4987235,3.7522383,-2.047655,8.526798,3.1174965,6.375348,3.0750608,0.58692455,-3.1064708,3.1254737,-1.9369687,6.5003843,0.37915444,3.5165308,-2.1723998,2.8478487,-2.200634,1.3538193,-3.562958,1.5216293,0.72633684,2.9288604,-1.8457677,0.5876022,-3.3914866,2.127186,-2.1287723,0.22621009,-2.5790477,1.8247299,-1.745138,0.06333963,children_playing
-469.41965,109.28011,-18.456553,46.043015,11.825915,17.288229,10.015719,3.038617,6.914886,2.9937267,-0.9570156,11.985637,2.7677848,6.2737093,1.4491736,1.1917876,-2.508871,1.8236701,-2.6049902,4.226474,-1.3500391,6.8277607,0.062223755,4.696486,-0.44798037,0.3748177,-1.8574902,1.1718446,-1.2369617,2.7297666,-0.6328585,0.34185755,-3.7605994,1.0527532,-2.1252208,2.6647072,-1.8550098,2.2153208,0.10449086,0.9164224,children_playing
-457.1464,106.52766,-19.124525,39.871788,4.8239555,22.051247,16.051298,7.627046,6.465357,5.748668,-2.0007885,9.237299,1.5500603,2.9796615,2.238925,0.55386144,0.068374984,6.210843,0.016094979,3.8128395,-0.92304033,2.9105923,-1.1760966,3.3959277,-3.5774214,0.17304532,-2.6636202,-0.8366386,-1.9108847,1.613826,-0.114015654,0.5853119,-2.4161277,2.7829316,-3.2590988,0.4362684,-1.8451543,-0.39152592,-3.7904031,2.2742147,children_playing
-466.2641,118.13225,-29.881447,50.494637,5.178186,21.636282,13.622517,7.285783,8.189791,3.1339176,-2.2993999,13.043378,0.5957663,8.1511345,1.7542735,2.1690512,-1.5706272,3.4191563,-3.356669,3.238213,-0.30630833,4.108424,0.7736971,3.9287992,-0.77851,-1.4466078,-1.727823,-0.39336425,-1.3516034,0.90609884,-0.11923597,2.4686522,-1.1836194,1.8826474,-1.9017389,0.22250128,-3.5730038,1.3138806,-1.7469563,-1.1393833,children_playing
-188.62563,102.429115,-2.3306003,-10.946155,-8.982676,-15.690951,-30.035511,-6.154767,-9.007838,-12.613339,-10.587377,-1.196813,-13.455126,-11.810285,-12.847272,-1.9622476,-8.531765,-4.870482,-8.739532,3.8686159,-2.2428465,2.4774315,-1.1134602,-2.631752,-6.8802695,-2.822928,-6.525856,-2.5448506,-5.271994,3.6976182,-8.95741,-1.2020586,-2.0441666,3.8393338,-6.9807653,-4.810834,-1.7235419,3.730233,-5.927493,-0.9260194,car_horn
